artist_id,artist,album_name,release_date,album_type,total_tracks,spotify_id,kkbox_id
9,蕭秉治,蕭秉治 「凡人Mortal」 巡迴演唱會LIVE TOUR專輯,2019-09-24,album,24,5FDty1zACUnnLcyiDLkFam,-kvYDALBzpOHQBKqvu
9,蕭秉治,蕭秉治Project X 巡迴演唱會Live Tour專輯,2023-08-18,album,25,0t5wSJeKMB645PvmM9CjrU,L_ZBiz7uYWLlR8jwOK
9,蕭秉治,進化（2025中信兄弟年度歌曲）,2025-03-26,single,1,5giD66WEWyUqMsrk2mtcAu,8rq1DKUrLZoqMTVEUe
10,鼓鼓 呂思緯,Acer Day Play Music Together,2018-07-20,N/A,N/A,None,CqVIY8AxmpvC-4_yOP
10,鼓鼓 呂思緯,K.O. (華視《最佳利益》片頭曲),2019-05-15,single,1,583CfD8kd17G19C5rHkMsw,Gq1fpSrwKRoy8SYyh4
10,鼓鼓 呂思緯,乎乾,2018-12-02,single,1,6oadzY0sUCT2R2UTMAghNE,4qFHlw3VwYJTTx_-I-
10,鼓鼓 呂思緯,勇敢一次 (三商美邦廣告主題曲),2017-11-23,single,1,6neI1HomAFV3huMgsOQTG1,None
10,鼓鼓 呂思緯,可以唷,2016-12-03,album,10,5561D6AfG3HpnJsKhsFxu9,WtRV1ZA_YOSQm7tXUp
10,鼓鼓 呂思緯,嗯哼,2016-11-09,N/A,N/A,None,X-HrGo5Z0SAEmnuYgP
10,鼓鼓 呂思緯,好了啦,2023-03-22,single,1,4FlvBqR4lV69cuoaD7DO0u,KpfXdaqfaopkANpKGp
10,鼓鼓 呂思緯,我們的主場,2021-04-11,single,1,7A4aNhLVq92rxgwvvNqwot,-r9i72a51XBjLG4pO1
10,鼓鼓 呂思緯,我的心裡呀,2020-09-09,single,1,3ztddA2NGEIt70TPEMJ6Qf,GrVjX1xJSVBLaPzOfR
10,鼓鼓 呂思緯,戰神風暴,2021-09-02,single,1,0EDGxSlwEuOQqzogqNSVkb,None
10,鼓鼓 呂思緯,有你就有我 (feat. 鼓鼓 呂思緯),2022-07-01,single,1,6iLECldWmxsXpmpqRmnmrI,None
10,鼓鼓 呂思緯,樂高,2019-11-13,single,1,5xCsvi7iiZcmM2fklBf02I,9Yw6Rk03pTG8LcSNXJ
10,鼓鼓 呂思緯,簽收我的心,2021-08-14,single,1,0LCGO25PnTkwleHjvtGPK9,D_mZdmG6saFcO6RQ9q
10,鼓鼓 呂思緯,繽紛了每一天,2018-09-14,N/A,N/A,None,TapcBzNT9CYeFevfyb
10,鼓鼓 呂思緯,繽紛了每一天 (健達繽紛樂2018品牌主題曲),2018-09-14,single,1,5DMr1SYyXXMujKjQjkMbWS,None
10,鼓鼓 呂思緯,聽到請回答,2022-04-08,single,1,2UGyvHsvKWfSWrRZrvavsW,Pavv30IBDe7LXxk3Ez
10,鼓鼓 呂思緯,自己人,2019-08-22,N/A,N/A,None,Ood_PPaohoFhEwJRZy
10,鼓鼓 呂思緯,自己人 (2019全運會主題曲),2019-08-22,single,1,1aAlS0JHV7A0dLsVlhsP0e,None
10,鼓鼓 呂思緯,蟲洞,2019-11-18,album,16,33X2aXjnZaWaHj9GmfihWA,Cr14sy_pyWtog7z1mN
10,鼓鼓 呂思緯,超展開 (Japanese ver.),2020-02-14,N/A,N/A,None,1-5ZCIaXCvM0fsvL3Q
10,鼓鼓 呂思緯,超展開(日文版) [feat.Lead],2020-02-14,single,1,0uuiepnosPpMbwc5UmEfca,None
10,鼓鼓 呂思緯,跳舞在米蘭,2023-04-12,album,10,73CTYTtgLkPNLFycnNd64I,0pinPpha88Op5KAXou
10,鼓鼓 呂思緯,進擊吧閃電 戲劇原聲EP,2017-08-28,EP,3,6yvs8WCsmkA93d162zE74L,None
10,鼓鼓 呂思緯,限量單曲,2016-11-23,N/A,N/A,None,9YxoO50XpTG8IIT_SW
